DNN,NN without edge features,NN with edge features,SABRE,Noise Adaptive,Dense
0.010731124877929687,0.008284735679626464,0.013645100593566894,0.01101689338684082,0.008841896057128906,0.0022509098052978516
0.010613250732421874,0.008118629455566406,0.013727760314941407,0.013650727272033692,0.013359594345092773,0.003727412223815918
0.010755252838134766,0.008251309394836426,0.013074636459350586,0.018562674522399902,0.019581174850463866,0.004577445983886719
0.010650134086608887,0.008405756950378419,0.01362283229827881,0.021780943870544432,0.01800260543823242,0.005561232566833496
0.010659170150756837,0.008460664749145507,0.013734006881713867,0.026610350608825682,0.05391602516174317,0.007190632820129395
0.010892605781555176,0.008629298210144043,0.013450884819030761,0.03065600395202637,0.049058961868286136,0.008245372772216797
0.010816216468811035,0.008458280563354492,0.01403961181640625,0.06267590522766113,0.09154763221740722,0.010013723373413086
0.01080338954925537,0.008464360237121582,0.013499021530151367,0.0910384178161621,0.08334944248199463,0.010707640647888183
0.010852789878845215,0.008500957489013672,0.01265110969543457,0.03860008716583252,0.09715790748596191,0.011364221572875977
0.010820889472961425,0.008443593978881836,0.012505626678466797,0.07887778282165528,0.09875683784484864,0.015716290473937987
0.010707592964172364,0.008383035659790039,0.012377500534057617,0.07821650505065918,0.042302703857421874,0.040924239158630374
0.01069471836090088,0.008540916442871093,0.012409234046936035,0.08551671504974365,0.18194620609283446,0.01782543659210205
0.010616707801818847,0.008383417129516601,0.01286611557006836,0.08840551376342773,0.11104652881622315,0.018154478073120116
0.010750293731689453,0.008478188514709472,0.013113045692443847,0.10120084285736083,0.15270867347717285,0.021404600143432616
0.01075749397277832,0.008369112014770507,0.01416778564453125,0.08926093578338623,0.23042192459106445,0.08123619556427002
0.01080009937286377,0.008312606811523437,0.013068819046020507,0.15373709201812744,0.10190863609313965,0.022354674339294434
0.010877084732055665,0.008456540107727051,0.013424015045166016,0.1186105728149414,0.2878260135650635,0.05329282283782959
0.010804319381713867,0.008518433570861817,0.012412238121032714,0.1550546407699585,0.14645566940307617,0.08355193138122559
0.010694360733032227,0.008571863174438477,0.013230681419372559,0.18269612789154052,0.2472545862197876,0.03062002658843994
0.010540461540222168,0.008368182182312011,0.012760639190673828,0.16243457794189453,0.23848958015441896,0.08614883422851563
0.010648441314697266,0.03480863571166992,0.012322187423706055,0.19269254207611083,0.21176652908325194,0.03436005115509033
0.010574603080749511,0.00824882984161377,0.013304352760314941,0.1703209400177002,0.30972867012023925,0.035699772834777835
0.010637736320495606,0.008355498313903809,0.01214284896850586,0.2833176851272583,0.18379149436950684,0.03825833797454834
0.010626983642578126,0.008154702186584473,0.012134313583374023,0.2537503957748413,0.32923641204833987,0.07156863212585449
0.010660123825073243,0.008301115036010743,0.012401914596557618,0.16509385108947755,0.24796750545501708,0.06756887435913086
0.010753607749938965,0.008249998092651367,0.012655138969421387,0.2628253221511841,0.3464646577835083,0.07338578701019287
0.010629558563232422,0.008228492736816407,0.013565564155578613,0.3300920486450195,0.282792329788208,0.07787098884582519
0.010753226280212403,0.008197140693664551,0.013712406158447266,0.2993699789047241,0.31433954238891604,0.07593250274658203
0.010759592056274414,0.008335471153259277,0.013824534416198731,0.2196589469909668,0.3390953540802002,0.10227596759796143
0.010825467109680176,0.008246874809265137,0.014348411560058593,0.2871429920196533,0.3830738544464111,0.05378470420837402
0.010892391204833984,0.008308124542236329,0.013737893104553223,0.24649910926818847,0.3652174711227417,0.049846839904785153
0.010934758186340331,0.008351969718933105,0.013733696937561036,0.3026352167129517,0.39602663516998293,0.16591007709503175
0.010920548439025879,0.0084428071975708,0.012660884857177734,0.43090460300445554,0.1869046688079834,0.08564770221710205
0.010988736152648925,0.008371663093566895,0.012607645988464356,0.34743523597717285,0.42518351078033445,0.08945484161376953
0.010925793647766113,0.008287596702575683,0.01325695514678955,0.3715843677520752,0.45298659801483154,0.11735928058624268
0.010898947715759277,0.00832364559173584,0.013602328300476075,0.2910114288330078,0.42173199653625487,0.09136533737182617
0.010878872871398926,0.008347320556640624,0.014705872535705567,0.40124104022979734,0.3932088851928711,0.07159392833709717
0.010894465446472167,0.008244824409484864,0.013744282722473144,0.37303388118743896,0.618750524520874,0.09797370433807373
0.01092827320098877,0.008408856391906739,0.013785314559936524,0.3723993539810181,0.45144875049591066,0.1550194501876831
0.010901069641113282,0.008459067344665528,0.01315479278564453,0.3583684921264648,0.5092696666717529,0.1497483730316162
0.010868144035339356,0.008232998847961425,0.012935018539428711,0.36174678802490234,0.5199142217636108,0.13118391036987304
0.010897088050842284,0.008419513702392578,0.012377452850341798,0.36469881534576415,0.5028415203094483,0.21455843448638917
0.010836529731750488,0.008298921585083007,0.012527775764465333,0.44620552062988283,0.5100181818008422,0.1322765588760376
0.010912847518920899,0.008289003372192382,0.012929534912109375,0.4345399379730225,0.47876527309417727,0.1630628824234009
0.010775542259216309,0.00849909782409668,0.013987970352172852,0.4065826892852783,0.604518461227417,0.13801274299621583
0.01086735725402832,0.008396029472351074,0.012742853164672852,0.48225905895233157,0.4073754549026489,0.14096782207489014
0.01085503101348877,0.008343315124511719,0.012862610816955566,0.45618772506713867,0.6787617206573486,0.17001495361328126
0.010978460311889648,0.008443880081176757,0.012288761138916016,0.42482426166534426,0.5992310285568238,0.19820787906646728
0.0108428955078125,0.008295249938964844,0.01254425048828125,0.5117243766784668,0.6684190988540649,0.20722062587738038
0.010926365852355957,0.00838453769683838,0.012282586097717286,0.49586124420166017,0.6321714639663696,0.1767317533493042
